timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.421299,0.63627,0.375997,0.746936,0.683671,0.547605,0.604807,0.123849,0.376279,0.834341,0.712318,0.120064,0.637377,0.697856,0.692632,0.16152,0.528903,0.631176,0.793848,0.521073,0.145383,0.667864,0.775012,0.262327,0.454669,0.744248,0.864121,0.805028,0.760166,0.79488,0.615943,0.346222,0.133963,0.404499,0.479028,0.767176,0.21125,0.567249,0.507758,0.344513,0.598194,0.304018,0.747339,0.70522,0.566281,0.500197,0.205449,0.285116,0.217255,0.423812
20,0.40795,0.637632,0.382136,0.740469,0.675802,0.555806,0.61167,0.113481,0.385788,0.829896,0.703899,0.113781,0.639508,0.688053,0.684678,0.164929,0.537001,0.63467,0.793813,0.530665,0.136939,0.662586,0.77072,0.270591,0.464647,0.742995,0.873281,0.801816,0.762293,0.804153,0.609237,0.353687,0.133493,0.413806,0.485278,0.775961,0.205377,0.575378,0.51816,0.347648,0.592362,0.310477,0.743596,0.698234,0.564347,0.490249,0.215243,0.289881,0.216477,0.43179
30,0.397414,0.646305,0.390617,0.739831,0.676929,0.567115,0.607633,0.101722,0.396109,0.832491,0.694254,0.116854,0.646129,0.680744,0.682624,0.167356,0.54004,0.642732,0.787138,0.537576,0.135332,0.65264,0.76373,0.277103,0.468028,0.744432,0.882012,0.805509,0.766167,0.812728,0.606137,0.35569,0.127407,0.42066,0.48427,0.786805,0.208199,0.585002,0.522442,0.357193,0.591526,0.318964,0.73669,0.694628,0.560071,0.480679,0.219568,0.300054,0.21251,0.438599
40,0.392509,0.658944,0.390617,0.739831,0.686261,0.573602,0.596254,0.0959657,0.403577,0.839857,0.694247,0.11686,0.655891,0.679345,0.682624,0.167356,0.535785,0.650223,0.778148,0.541981,0.133492,0.642732,0.755376,0.281657,0.468028,0.744432,0.886219,0.814279,0.774819,0.816426,0.607301,0.357647,0.118305,0.421742,0.478105,0.79566,0.217566,0.588741,0.516623,0.365888,0.594243,0.323638,0.729274,0.697014,0.554227,0.471906,0.225531,0.309508,0.205442,0.442081
50,0.397407,0.671437,0.390617,0.739831,0.695987,0.571698,0.588081,0.0863113,0.404837,0.847799,0.69393,0.117179,0.664297,0.684502,0.682624,0.167356,0.527895,0.654705,0.771422,0.545434,0.128904,0.636299,0.747026,0.286428,0.468028,0.744432,0.887712,0.82411,0.783694,0.813302,0.607301,0.357647,0.110183,0.417102,0.467617,0.79816,0.228117,0.588307,0.506165,0.365567,0.594243,0.323638,0.725766,0.703969,0.547359,0.463909,0.232627,0.318353,0.197627,0.441077
60,0.409628,0.67698,0.390617,0.739831,0.695987,0.571698,0.587482,0.073676,0.404837,0.847799,0.685502,0.12402,0.667476,0.693837,0.682624,0.167356,0.520164,0.659304,0.771422,0.545434,0.128904,0.636299,0.739751,0.292718,0.468028,0.744432,0.888706,0.834004,0.788815,0.805149,0.607301,0.357647,0.106015,0.408938,0.456859,0.795802,0.238323,0.589369,0.505593,0.365257,0.594243,0.323638,0.726121,0.707494,0.539557,0.456881,0.239968,0.326994,0.190663,0.437127
70,0.420941,0.67358,0.390617,0.739831,0.695987,0.571698,0.594707,0.0632925,0.404837,0.847799,0.674799,0.125227,0.668773,0.700662,0.682624,0.167356,0.512508,0.664181,0.765332,0.546978,0.12692,0.633314,0.733826,0.300293,0.468028,0.744432,0.889198,0.843935,0.793327,0.796438,0.606916,0.35788,0.108322,0.400067,0.447316,0.800648,0.247142,0.594715,0.505593,0.365257,0.594243,0.323638,0.726121,0.707494,0.530124,0.452183,0.248098,0.334866,0.182653,0.436804
80,0.420941,0.67358,0.390617,0.739831,0.695987,0.571698,0.60679,0.0591904,0.404837,0.847799,0.66527,0.120206,0.673998,0.709255,0.682624,0.167356,0.504438,0.668337,0.756426,0.543415,0.121103,0.624643,0.729471,0.308868,0.472904,0.747259,0.888677,0.853796,0.798208,0.787928,0.600324,0.36531,0.112875,0.396071,0.44456,0.81099,0.25479,0.601997,0.505593,0.365257,0.594243,0.323638,0.726121,0.707494,0.520181,0.448681,0.256533,0.342443,0.175487,0.433331
90,0.420941,0.67358,0.393288,0.740653,0.695987,0.571698,0.619511,0.0562668,0.404837,0.847799,0.660214,0.110695,0.674285,0.719294,0.682624,0.167356,0.496021,0.671737,0.75246,0.534681,0.116611,0.615387,0.726851,0.318121,0.479621,0.748443,0.885955,0.863336,0.802645,0.779284,0.602359,0.3749,0.112875,0.396071,0.450426,0.819943,0.263833,0.607201,0.505593,0.365257,0.594243,0.323638,0.726121,0.707494,0.513027,0.447178,0.265866,0.348782,0.167884,0.432232
100,0.420941,0.67358,0.393288,0.740653,0.695987,0.571698,0.631744,0.0517161,0.404837,0.847799,0.659869,0.107879,0.67853,0.72825,0.682624,0.167356,0.487408,0.671332,0.75242,0.53415,0.119483,0.605852,0.727374,0.327611,0.479621,0.748443,0.881886,0.872276,0.806202,0.770141,0.604225,0.376717,0.112875,0.396071,0.457302,0.822057,0.27408,0.609588,0.505593,0.365257,0.594243,0.323638,0.726121,0.707494,0.503301,0.450497,0.275714,0.354402,0.162764,0.437948
