timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.792231,0.740882,0.774849,0.319896,0.257609,0.653358,0.54836,0.276086,0.82166,0.704455,0.128056,0.867575,0.645582,0.375509,0.22453,0.579782,0.606632,0.787858,0.812003,0.589204,0.392508,0.691217,0.433919,0.71491,0.848459,0.432036,0.725011,0.729758,0.60109,0.299089,0.614918,0.691442,0.141435,0.441153,0.5278,0.309629,0.283217,0.509228,0.696634,0.752437,0.176297,0.406851,0.412601,0.814808,0.629635,0.207284,0.421963,0.296778,0.363539,0.84317
20,0.793866,0.733365,0.768328,0.313804,0.259843,0.644426,0.548544,0.265672,0.830098,0.707762,0.11748,0.86869,0.655558,0.377694,0.215492,0.581443,0.607468,0.777506,0.803681,0.586839,0.389509,0.696413,0.439365,0.704098,0.842658,0.441666,0.733586,0.724079,0.608805,0.306159,0.605492,0.69433,0.147998,0.449516,0.520684,0.304819,0.293211,0.513288,0.69602,0.743042,0.173224,0.414587,0.420462,0.812937,0.639832,0.203021,0.413717,0.2963,0.361187,0.83757
30,0.789991,0.72672,0.759312,0.313428,0.264009,0.636256,0.554029,0.256705,0.838401,0.704131,0.111908,0.877749,0.664296,0.372408,0.209885,0.588725,0.598995,0.771501,0.796346,0.591427,0.393282,0.692494,0.440795,0.703409,0.844884,0.452686,0.737277,0.723139,0.619269,0.306091,0.5964,0.690516,0.146584,0.460053,0.519158,0.30212,0.299005,0.522387,0.699287,0.738796,0.171044,0.416568,0.426121,0.814872,0.643399,0.19526,0.408381,0.302606,0.354917,0.836563
40,0.785712,0.722947,0.75066,0.316309,0.272207,0.632177,0.563902,0.252834,0.841701,0.695692,0.115684,0.887691,0.666993,0.362558,0.21059,0.597888,0.589506,0.775722,0.794833,0.599945,0.396499,0.685967,0.442946,0.706255,0.853931,0.45955,0.734836,0.724203,0.62423,0.302811,0.59598,0.690151,0.14493,0.462352,0.519158,0.30212,0.299609,0.526278,0.699287,0.738796,0.171044,0.416568,0.426121,0.814872,0.643399,0.19526,0.410225,0.310673,0.34878,0.83486
50,0.785283,0.722822,0.748687,0.317467,0.281202,0.632839,0.56665,0.252267,0.840474,0.686466,0.124817,0.894086,0.666462,0.35992,0.212207,0.604181,0.588559,0.77717,0.799955,0.607125,0.397831,0.68516,0.439146,0.707579,0.864396,0.464673,0.73456,0.724305,0.62423,0.302811,0.59598,0.690151,0.14493,0.462352,0.519158,0.30212,0.299609,0.526278,0.699287,0.738796,0.171044,0.416568,0.428965,0.818324,0.643399,0.19526,0.416078,0.317162,0.343905,0.830762
60,0.785283,0.722822,0.748687,0.317467,0.287466,0.639326,0.56665,0.252267,0.844801,0.678503,0.135023,0.898612,0.666462,0.35992,0.211524,0.613544,0.588559,0.77717,0.805641,0.614107,0.397499,0.685049,0.431411,0.713474,0.875092,0.469093,0.73456,0.724305,0.62423,0.302811,0.59598,0.690151,0.14493,0.462352,0.517429,0.298554,0.301478,0.53529,0.699287,0.738796,0.171044,0.416568,0.429222,0.826224,0.643399,0.19526,0.422784,0.322765,0.338916,0.826766
70,0.785307,0.722813,0.748687,0.317467,0.288469,0.645194,0.56665,0.252267,0.85349,0.675929,0.145952,0.901013,0.666462,0.35992,0.216432,0.621313,0.588559,0.77717,0.81206,0.620467,0.397499,0.685049,0.429884,0.723086,0.880711,0.478755,0.734738,0.724409,0.62423,0.302811,0.592341,0.687524,0.14493,0.462352,0.518336,0.290193,0.30669,0.545124,0.701274,0.737381,0.171044,0.416568,0.423485,0.831663,0.644205,0.187952,0.430211,0.32737,0.333709,0.8231
80,0.78786,0.724477,0.748687,0.317467,0.288469,0.645194,0.56665,0.252267,0.861467,0.680263,0.155807,0.905492,0.666462,0.35992,0.225278,0.623804,0.588559,0.77717,0.81899,0.626351,0.397499,0.685049,0.430354,0.724568,0.877382,0.489426,0.737316,0.719322,0.62423,0.302811,0.585041,0.680824,0.14493,0.462352,0.525423,0.285663,0.314439,0.552973,0.707072,0.729906,0.171044,0.416568,0.415992,0.831207,0.647187,0.176871,0.43821,0.330888,0.330443,0.817585
90,0.79392,0.728065,0.748687,0.317467,0.288469,0.645194,0.56665,0.252267,0.865842,0.688321,0.160892,0.91504,0.666462,0.35992,0.234606,0.623063,0.588559,0.77717,0.826207,0.631878,0.397499,0.685049,0.430354,0.724568,0.867248,0.494179,0.745849,0.724789,0.62423,0.302811,0.583382,0.675521,0.14493,0.462352,0.52584,0.285597,0.318326,0.557808,0.710849,0.72261,0.171044,0.416568,0.415992,0.831207,0.652299,0.166742,0.446624,0.333247,0.328396,0.811522
100,0.801591,0.725652,0.748687,0.317467,0.288469,0.645194,0.56665,0.252267,0.863506,0.697077,0.159092,0.925708,0.666462,0.35992,0.241804,0.628675,0.586416,0.784853,0.833695,0.637033,0.397499,0.685049,0.430354,0.724568,0.85562,0.495108,0.750946,0.732852,0.62423,0.302811,0.583382,0.675521,0.14493,0.462352,0.52584,0.285597,0.318326,0.557808,0.715875,0.724035,0.171044,0.416568,0.415992,0.831207,0.661775,0.160872,0.447901,0.3335,0.328982,0.80518
