timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.784835,0.302931,0.560059,0.466448,0.389584,0.261106,0.718459,0.496595,0.168452,0.204468,0.267102,0.659543,0.831986,0.612884,0.655721,0.213437,0.143263,0.352379,0.514229,0.73763,0.867948,0.306753,0.435688,0.25935,0.323712,0.691846,0.343155,0.565639,0.452045,0.76942,0.711738,0.726131,0.530566,0.863283,0.189088,0.704427,0.56519,0.239042,0.508648,0.394387,0.311545,0.163671,0.772619,0.778358,0.372127,0.851889,0.809421,0.787841,0.675146,0.452626
20,0.794406,0.30498,0.566454,0.459155,0.390583,0.247016,0.725869,0.502119,0.165541,0.199018,0.263139,0.668847,0.824354,0.618543,0.649364,0.207243,0.147953,0.342214,0.520982,0.732177,0.862804,0.315888,0.432728,0.271288,0.326433,0.701772,0.354288,0.569286,0.462293,0.769796,0.719346,0.731174,0.524371,0.854981,0.200025,0.705641,0.568789,0.247482,0.511434,0.402991,0.305888,0.156786,0.7673,0.768748,0.365034,0.847092,0.807958,0.781929,0.681712,0.461736
30,0.800496,0.312644,0.574191,0.456119,0.396801,0.2386,0.727455,0.511225,0.15949,0.197766,0.266103,0.678515,0.823428,0.628,0.649141,0.19837,0.158746,0.339241,0.529458,0.7317,0.863785,0.326065,0.42679,0.276618,0.335737,0.706174,0.361182,0.578624,0.463807,0.769094,0.722654,0.731173,0.51547,0.849991,0.208998,0.699272,0.565239,0.255943,0.508393,0.411507,0.307067,0.147939,0.769456,0.760857,0.361803,0.839313,0.800223,0.78424,0.69275,0.463803
40,0.800517,0.322533,0.574191,0.456119,0.404458,0.235828,0.722347,0.518929,0.153673,0.200679,0.266443,0.678992,0.82729,0.637183,0.652232,0.189719,0.16798,0.34557,0.536008,0.737102,0.871548,0.332718,0.424788,0.270231,0.340499,0.705314,0.361067,0.590231,0.463807,0.769094,0.722654,0.731173,0.505287,0.850633,0.211459,0.688547,0.559113,0.263085,0.504606,0.414848,0.311255,0.139643,0.778343,0.763177,0.364956,0.831502,0.794948,0.792482,0.702168,0.457686
50,0.802505,0.331999,0.574191,0.456119,0.406936,0.233218,0.713709,0.522839,0.148194,0.204289,0.266443,0.678992,0.831461,0.646072,0.650009,0.181141,0.170904,0.356794,0.537202,0.745558,0.881755,0.332131,0.426857,0.26047,0.340499,0.705314,0.355628,0.600796,0.463807,0.769094,0.722654,0.731173,0.496891,0.856595,0.208689,0.681182,0.557166,0.272138,0.500979,0.41829,0.314808,0.131045,0.785881,0.769876,0.372697,0.828144,0.796732,0.802259,0.705911,0.450522
60,0.803495,0.333188,0.574191,0.456119,0.406936,0.233218,0.705524,0.527476,0.143378,0.208712,0.266443,0.678992,0.832815,0.655857,0.643662,0.176961,0.174561,0.367857,0.533984,0.753482,0.889429,0.325039,0.435113,0.254358,0.340499,0.705314,0.349958,0.611355,0.463807,0.769094,0.722654,0.731173,0.487801,0.861512,0.205396,0.670416,0.559518,0.281318,0.500065,0.427132,0.317478,0.122087,0.795746,0.77105,0.381412,0.828496,0.803602,0.809218,0.705199,0.439315
70,0.806021,0.335584,0.574191,0.456119,0.409544,0.22981,0.696042,0.527562,0.139012,0.21361,0.266443,0.678992,0.839146,0.662941,0.640507,0.176246,0.173214,0.379329,0.527191,0.758738,0.897861,0.318711,0.439872,0.253821,0.340499,0.705314,0.345811,0.622599,0.463807,0.769094,0.722654,0.731173,0.48101,0.869128,0.199607,0.660683,0.566409,0.287404,0.506513,0.433251,0.319964,0.113115,0.800915,0.76891,0.390093,0.830062,0.807037,0.810142,0.696953,0.431609
80,0.810374,0.344352,0.574191,0.456119,0.411125,0.220584,0.688406,0.53271,0.13511,0.218885,0.266443,0.678992,0.848648,0.663002,0.631538,0.1741,0.169899,0.390586,0.526794,0.75888,0.907303,0.314099,0.439872,0.253821,0.340499,0.705314,0.343267,0.63431,0.463807,0.769094,0.722654,0.731173,0.479443,0.879211,0.192169,0.652563,0.575855,0.288426,0.508777,0.433708,0.321843,0.10396,0.800915,0.76891,0.398787,0.831556,0.807037,0.810142,0.685915,0.429253
90,0.808165,0.353888,0.577573,0.455908,0.413413,0.211574,0.686896,0.541795,0.131702,0.224492,0.266443,0.678992,0.855464,0.656154,0.624073,0.16876,0.165648,0.401524,0.526794,0.75888,0.917247,0.316363,0.439872,0.253821,0.340499,0.705314,0.342375,0.646261,0.463807,0.769094,0.722654,0.731173,0.483602,0.888529,0.184963,0.65053,0.585433,0.288147,0.508777,0.433708,0.324619,0.0951903,0.800915,0.76891,0.4035,0.832421,0.807037,0.810142,0.676285,0.43503
100,0.8004,0.359848,0.586877,0.458645,0.421046,0.205976,0.692458,0.549135,0.128817,0.230385,0.266443,0.678992,0.856814,0.646748,0.617093,0.16268,0.160491,0.412065,0.526794,0.75888,0.922509,0.325099,0.439872,0.253821,0.340499,0.705314,0.343154,0.65822,0.463807,0.769094,0.725906,0.730532,0.487092,0.8917,0.184963,0.65053,0.595016,0.287452,0.508777,0.433708,0.332116,0.0903749,0.800915,0.76891,0.4035,0.832421,0.807037,0.810142,0.673166,0.444277
