timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.75558,0.56788,0.16065,0.321714,0.386698,0.566716,0.787792,0.304043,0.431197,0.786965,0.194008,0.647474,0.236859,0.220187,0.69971,0.751763,0.334251,0.836104,0.817432,0.498173,0.470511,0.856902,0.343734,0.351405,0.721442,0.530107,0.685724,0.153766,0.633493,0.841116,0.705204,0.845957,0.313654,0.626942,0.653224,0.126742,0.714858,0.807029,0.189515,0.142971,0.128768,0.85752,0.652987,0.391261,0.786718,0.602671,0.309896,0.394423,0.176026,0.799514
20,0.762126,0.558395,0.170086,0.324036,0.394958,0.561327,0.780703,0.296579,0.421485,0.779085,0.186409,0.654905,0.245232,0.218636,0.68961,0.751671,0.340792,0.828035,0.811485,0.499463,0.481656,0.858415,0.353474,0.350602,0.717444,0.536791,0.69502,0.151226,0.640827,0.836157,0.705671,0.841317,0.307531,0.632178,0.662966,0.126636,0.709323,0.798863,0.188687,0.151764,0.121255,0.850541,0.6645,0.386524,0.79517,0.598733,0.30411,0.385482,0.178795,0.791309
30,0.764966,0.548741,0.178959,0.320321,0.404329,0.564403,0.77042,0.296116,0.409088,0.780725,0.181902,0.664729,0.250974,0.224923,0.681497,0.757686,0.350692,0.825731,0.80648,0.496001,0.492765,0.854992,0.356446,0.348676,0.714928,0.539148,0.700688,0.143631,0.649408,0.837514,0.716388,0.838211,0.299486,0.631773,0.664358,0.125948,0.705014,0.804519,0.184407,0.155771,0.117397,0.840804,0.676988,0.388696,0.799202,0.590214,0.299725,0.383129,0.18667,0.787709
40,0.764053,0.545358,0.183647,0.311921,0.408466,0.573595,0.762614,0.302909,0.405396,0.783692,0.177506,0.674731,0.248673,0.233121,0.678614,0.766926,0.359541,0.830841,0.805594,0.489964,0.504285,0.856852,0.356446,0.348676,0.714815,0.539189,0.704237,0.133533,0.654378,0.844638,0.725188,0.845074,0.29392,0.625949,0.661983,0.126273,0.705213,0.806815,0.184407,0.155771,0.109969,0.833396,0.68951,0.391267,0.798692,0.580897,0.299725,0.383129,0.195562,0.787784
50,0.764053,0.545358,0.182149,0.302419,0.405568,0.583082,0.757325,0.312221,0.405396,0.783692,0.173156,0.684608,0.243599,0.235671,0.678613,0.766929,0.364525,0.839761,0.805961,0.48848,0.514792,0.852314,0.356446,0.348676,0.714815,0.539189,0.704054,0.131238,0.652954,0.852795,0.725521,0.845724,0.292302,0.620297,0.661845,0.126014,0.705213,0.806815,0.184407,0.155771,0.108684,0.831025,0.702324,0.391218,0.792235,0.57417,0.299725,0.383129,0.202489,0.782527
60,0.763925,0.545315,0.176627,0.294155,0.401356,0.592213,0.752007,0.321543,0.405396,0.783692,0.16888,0.694662,0.243599,0.235671,0.678613,0.766929,0.363978,0.850082,0.805961,0.48848,0.522245,0.84321,0.356446,0.348676,0.714687,0.539145,0.705411,0.131898,0.652954,0.852795,0.725521,0.845724,0.289943,0.612199,0.661933,0.120079,0.705213,0.806815,0.184407,0.155771,0.108684,0.831025,0.715054,0.39085,0.785991,0.573471,0.294243,0.380952,0.203938,0.773954
70,0.763952,0.545335,0.173267,0.289805,0.403664,0.60195,0.746512,0.330763,0.402794,0.786613,0.162447,0.703493,0.243599,0.235671,0.678613,0.766929,0.361728,0.854355,0.805961,0.48848,0.526842,0.832428,0.359072,0.346382,0.714821,0.539001,0.708181,0.127723,0.652954,0.852795,0.725521,0.845724,0.287131,0.604275,0.664598,0.119545,0.705213,0.806815,0.182309,0.156742,0.106384,0.826947,0.724217,0.382793,0.777359,0.576953,0.288378,0.372207,0.202918,0.77102
80,0.763931,0.546496,0.173267,0.289805,0.409254,0.610692,0.744904,0.333587,0.402794,0.786613,0.154178,0.710634,0.243599,0.235671,0.678613,0.766929,0.361728,0.854355,0.805961,0.48848,0.527919,0.820643,0.368433,0.343788,0.716233,0.542232,0.705195,0.120163,0.652954,0.852795,0.725521,0.845724,0.282013,0.598029,0.668887,0.127252,0.705213,0.806815,0.175529,0.16259,0.103779,0.817021,0.72469,0.380303,0.773078,0.585237,0.291294,0.362089,0.202918,0.77102
90,0.760458,0.554858,0.173267,0.289805,0.413867,0.619988,0.744904,0.333587,0.402794,0.786613,0.144504,0.715713,0.243599,0.235671,0.678613,0.766929,0.361728,0.854355,0.806787,0.484971,0.527316,0.808825,0.373888,0.345056,0.722008,0.543136,0.703816,0.115029,0.652954,0.852795,0.725521,0.845724,0.273986,0.596247,0.669597,0.13123,0.705213,0.806815,0.173902,0.167316,0.107369,0.807141,0.72469,0.380303,0.775247,0.594306,0.295212,0.359036,0.202918,0.77102
100,0.761712,0.565142,0.173267,0.289805,0.417433,0.629734,0.744904,0.333587,0.402794,0.786613,0.139725,0.717289,0.240453,0.235909,0.678613,0.766929,0.361008,0.855675,0.809579,0.479517,0.525046,0.79721,0.373888,0.345056,0.725436,0.546865,0.703816,0.115029,0.652954,0.852795,0.725521,0.845724,0.265682,0.597201,0.667331,0.140739,0.705213,0.806815,0.173902,0.167316,0.114257,0.799475,0.72469,0.380303,0.776742,0.59619,0.295212,0.359036,0.201448,0.768223
