timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.409208,0.710352,0.799121,0.800273,0.846412,0.385765,0.832434,0.179061,0.213532,0.591343,0.571094,0.387126,0.49583,0.86999,0.874766,0.671339,0.391632,0.136119,0.291525,0.279178,0.333279,0.780728,0.59057,0.58046,0.258241,0.525675,0.336352,0.172547,0.574335,0.236822,0.528382,0.219793,0.338921,0.257627,0.380841,0.647879,0.529137,0.859328,0.872809,0.781319,0.654641,0.31121,0.561311,0.31946,0.881595,0.487321,0.483581,0.836904,0.489803,0.702477
20,0.414456,0.701996,0.789879,0.794523,0.844667,0.39299,0.824602,0.180212,0.204605,0.592286,0.56215,0.382129,0.485394,0.869865,0.869272,0.677259,0.389457,0.127634,0.2876,0.267023,0.331411,0.789699,0.587538,0.589271,0.265331,0.533135,0.345994,0.179903,0.57049,0.229676,0.5194,0.215108,0.336296,0.265763,0.389374,0.641328,0.53499,0.867885,0.867159,0.774758,0.656029,0.319375,0.56905,0.315807,0.891376,0.48621,0.496363,0.836879,0.480005,0.702184
30,0.423847,0.698964,0.779022,0.795859,0.839151,0.398328,0.819261,0.186055,0.200533,0.600219,0.551921,0.38271,0.478952,0.864083,0.861202,0.676911,0.386235,0.11947,0.285978,0.256076,0.33126,0.799144,0.579007,0.59251,0.268239,0.542787,0.357561,0.176259,0.565265,0.223375,0.509705,0.218044,0.334116,0.268795,0.390779,0.630545,0.53354,0.877921,0.861326,0.768328,0.662884,0.324202,0.572486,0.307693,0.900564,0.490128,0.504837,0.844521,0.473064,0.694908
40,0.433156,0.702536,0.769917,0.801919,0.834099,0.404265,0.815816,0.193434,0.203802,0.608771,0.543599,0.388688,0.479719,0.85615,0.856175,0.670524,0.38376,0.111178,0.290214,0.251708,0.330693,0.808614,0.572082,0.58657,0.264281,0.552058,0.36237,0.16479,0.566024,0.215245,0.502391,0.225485,0.331149,0.26072,0.390875,0.619449,0.525557,0.885739,0.854286,0.76355,0.669243,0.329557,0.578652,0.301639,0.90799,0.496351,0.513017,0.848292,0.467497,0.68626
50,0.441633,0.707955,0.763753,0.811123,0.829983,0.410819,0.810134,0.199393,0.211953,0.612854,0.536147,0.395958,0.485668,0.850847,0.855995,0.662399,0.388611,0.10406,0.297461,0.245967,0.329417,0.818015,0.570831,0.576929,0.255298,0.556633,0.357509,0.153679,0.565574,0.207143,0.492918,0.229188,0.333901,0.250794,0.388416,0.608584,0.510539,0.889891,0.845591,0.763879,0.670148,0.337814,0.587276,0.301084,0.909252,0.50595,0.524003,0.851093,0.462497,0.677273
60,0.451277,0.706488,0.754784,0.817647,0.826315,0.417698,0.804037,0.204954,0.219833,0.60868,0.530136,0.404369,0.492861,0.847149,0.861144,0.655928,0.396974,0.101612,0.304037,0.239052,0.32744,0.827294,0.572374,0.567326,0.245081,0.555483,0.345897,0.149276,0.56006,0.201189,0.483652,0.225128,0.341978,0.244664,0.384889,0.597916,0.499795,0.884782,0.83914,0.769426,0.665097,0.344472,0.594972,0.305397,0.903679,0.513866,0.530001,0.858895,0.458084,0.667982
70,0.457766,0.698909,0.751006,0.827856,0.82285,0.424681,0.79741,0.209872,0.220567,0.599793,0.527412,0.414252,0.495393,0.839636,0.869267,0.654316,0.404137,0.10637,0.306878,0.230186,0.325265,0.83651,0.576568,0.558551,0.237278,0.549099,0.335371,0.155298,0.552016,0.200121,0.479257,0.215778,0.352377,0.244854,0.381147,0.587321,0.499513,0.874291,0.83838,0.7779,0.657336,0.347563,0.598705,0.313191,0.894217,0.515916,0.535829,0.868871,0.454283,0.658443
80,0.456884,0.689195,0.753213,0.83874,0.819589,0.431761,0.790322,0.214098,0.213565,0.593986,0.530407,0.424066,0.491598,0.832675,0.876264,0.65835,0.406499,0.114822,0.304001,0.221332,0.322627,0.845623,0.582964,0.551232,0.235386,0.539197,0.334229,0.167371,0.543849,0.200665,0.472053,0.208656,0.361579,0.240557,0.377191,0.576804,0.502619,0.863868,0.843741,0.784506,0.648848,0.347607,0.596439,0.321529,0.884693,0.512738,0.537683,0.880916,0.453191,0.648279
90,0.448873,0.683629,0.749352,0.848762,0.816536,0.438934,0.782897,0.21762,0.205776,0.588855,0.5358,0.433037,0.483931,0.829998,0.877728,0.666293,0.401821,0.122037,0.29649,0.215831,0.317988,0.853765,0.590821,0.545499,0.239661,0.529864,0.33877,0.179093,0.536878,0.196072,0.461922,0.208608,0.365161,0.231054,0.373023,0.566369,0.511905,0.861114,0.852252,0.786293,0.642601,0.353045,0.591305,0.32883,0.87508,0.509671,0.531232,0.888816,0.453037,0.637995
100,0.438958,0.684912,0.739106,0.852177,0.81443,0.446305,0.775788,0.221713,0.200275,0.58132,0.544018,0.439358,0.476461,0.832653,0.872627,0.672556,0.393171,0.123049,0.2871,0.214529,0.312114,0.861215,0.599963,0.542225,0.240766,0.519668,0.336058,0.190279,0.531184,0.190038,0.452754,0.213491,0.362715,0.222174,0.370122,0.555604,0.518429,0.853125,0.860029,0.782844,0.642213,0.361318,0.583829,0.333423,0.865348,0.507004,0.523441,0.895493,0.453544,0.627723
110,0.432919,0.692572,0.728445,0.849183,0.817218,0.453164,0.76867,0.225811,0.1982,0.572263,0.553855,0.442223,0.473337,0.83994,0.864453,0.672883,0.385726,0.118514,0.28053,0.208212,0.305367,0.867818,0.60934,0.544179,0.24535,0.510573,0.327127,0.19889,0.523561,0.187257,0.442754,0.211964,0.364696,0.212214,0.369461,0.544459,0.518722,0.842815,0.864701,0.775382,0.647922,0.367317,0.577157,0.339095,0.855514,0.504741,0.513203,0.895685,0.452386,0.617694
120,0.434909,0.702121,0.718493,0.843876,0.824121,0.455843,0.761878,0.230291,0.199576,0.563191,0.564167,0.440705,0.476566,0.847182,0.856247,0.670607,0.382829,0.11041,0.276648,0.195247,0.298435,0.874293,0.617663,0.54921,0.253203,0.503953,0.318435,0.204573,0.515451,0.189002,0.436417,0.203873,0.371942,0.204956,0.367174,0.533458,0.515153,0.832965,0.869494,0.76792,0.656108,0.369699,0.576458,0.347624,0.845596,0.502887,0.504725,0.890231,0.449096,0.608032
130,0.443531,0.706802,0.709127,0.837592,0.831667,0.454599,0.755423,0.235378,0.205154,0.555731,0.574354,0.438546,0.481369,0.846324,0.848305,0.667644,0.387344,0.103091,0.275837,0.179698,0.291601,0.880804,0.624226,0.556388,0.257244,0.494846,0.312253,0.207739,0.507283,0.190196,0.435781,0.193776,0.38208,0.204794,0.364089,0.522682,0.519213,0.823673,0.873544,0.760101,0.663422,0.37422,0.582175,0.354244,0.835609,0.501444,0.504836,0.884092,0.444421,0.598958
140,0.453321,0.709344,0.700442,0.830397,0.839252,0.455759,0.749196,0.24079,0.208309,0.546963,0.58267,0.44412,0.486052,0.838789,0.843451,0.661189,0.395881,0.102059,0.279681,0.177503,0.284722,0.887337,0.628491,0.565129,0.252848,0.485906,0.301308,0.210055,0.50153,0.195918,0.442546,0.186182,0.389286,0.211949,0.360511,0.51203,0.529051,0.821219,0.880276,0.754471,0.668783,0.380565,0.590609,0.355696,0.825571,0.500414,0.509949,0.882588,0.438039,0.59101
150,0.462675,0.706387,0.692526,0.822363,0.846394,0.453806,0.742462,0.24556,0.214629,0.540311,0.588563,0.452753,0.489798,0.838377,0.845096,0.653175,0.402011,0.10809,0.286318,0.184263,0.277372,0.893336,0.630396,0.574651,0.243169,0.483545,0.295869,0.220894,0.500749,0.203995,0.449596,0.178832,0.395223,0.220329,0.356718,0.501454,0.537887,0.826719,0.885056,0.747432,0.668271,0.388856,0.597286,0.35026,0.815499,0.4998,0.51165,0.876916,0.429342,0.585609
160,0.470585,0.699866,0.685346,0.813686,0.849875,0.447271,0.735602,0.250083,0.223552,0.537717,0.596304,0.459672,0.488685,0.846401,0.851182,0.647854,0.405383,0.116294,0.295332,0.186783,0.269592,0.898767,0.626372,0.582841,0.234197,0.488513,0.297292,0.233415,0.502517,0.21204,0.449596,0.168702,0.403105,0.226995,0.352711,0.490956,0.545005,0.834151,0.885148,0.738772,0.662206,0.394676,0.603276,0.34379,0.805411,0.499602,0.5152,0.87252,0.420807,0.57987
170,0.477893,0.692679,0.680065,0.803874,0.847919,0.439944,0.72866,0.254545,0.230138,0.531705,0.60258,0.467722,0.484395,0.853348,0.859173,0.649028,0.412769,0.120944,0.304682,0.188171,0.261247,0.902934,0.617315,0.586243,0.224198,0.489796,0.296156,0.246052,0.498215,0.218802,0.442509,0.161464,0.404374,0.237055,0.348728,0.480516,0.542492,0.83986,0.879602,0.73232,0.655726,0.400322,0.611522,0.341042,0.795323,0.499821,0.523785,0.874214,0.412396,0.573983
180,0.485024,0.68538,0.677118,0.793073,0.843164,0.434023,0.721304,0.258285,0.228628,0.522917,0.609143,0.47559,0.480017,0.860079,0.863459,0.655874,0.421443,0.119975,0.309979,0.195587,0.252555,0.900517,0.60771,0.587644,0.215703,0.484368,0.302994,0.256068,0.490163,0.220347,0.432246,0.159903,0.398062,0.24499,0.346815,0.469446,0.532359,0.839498,0.872378,0.727554,0.650122,0.406712,0.619553,0.337939,0.785334,0.500653,0.530193,0.881996,0.404159,0.567825
190,0.489783,0.676799,0.675599,0.781935,0.836135,0.431677,0.713849,0.261782,0.220625,0.518413,0.617069,0.482104,0.481752,0.867815,0.864972,0.664087,0.429854,0.117452,0.307048,0.204232,0.24872,0.89235,0.598048,0.586528,0.212666,0.474756,0.315117,0.258524,0.483201,0.216375,0.424064,0.153956,0.387928,0.247199,0.344697,0.458411,0.524111,0.832975,0.868797,0.71968,0.641955,0.408234,0.622515,0.32991,0.777833,0.506691,0.53037,0.892302,0.396334,0.56115
200,0.488519,0.666695,0.675832,0.770807,0.829605,0.435167,0.706215,0.264873,0.21213,0.521495,0.617591,0.492318,0.48861,0.871794,0.869826,0.666454,0.443094,0.119245,0.301373,0.211727,0.252412,0.884117,0.589096,0.582726,0.216161,0.465147,0.324344,0.250653,0.48182,0.208481,0.415598,0.146433,0.377998,0.244397,0.340667,0.448043,0.513942,0.831251,0.869591,0.716087,0.634835,0.403767,0.619836,0.321487,0.774432,0.516124,0.524556,0.900731,0.389484,0.55351
210,0.485848,0.656798,0.678297,0.759801,0.824388,0.440724,0.698728,0.267895,0.208284,0.529613,0.619571,0.50237,0.498005,0.874482,0.871078,0.671423,0.446926,0.127024,0.294028,0.220922,0.261117,0.881355,0.581583,0.576548,0.216342,0.455185,0.333259,0.238302,0.487019,0.202381,0.413756,0.136529,0.372484,0.235754,0.334793,0.438572,0.502838,0.831084,0.875386,0.712412,0.631125,0.396327,0.621343,0.312978,0.770692,0.525316,0.515852,0.905838,0.383199,0.545369
220,0.482321,0.647173,0.682258,0.74937,0.818933,0.446112,0.69139,0.265218,0.208809,0.538949,0.626634,0.509792,0.50233,0.868637,0.865848,0.677578,0.441654,0.134103,0.294482,0.229292,0.270604,0.881341,0.576124,0.568499,0.209803,0.447351,0.331481,0.228142,0.495085,0.202458,0.407677,0.128426,0.372629,0.225607,0.326177,0.431477,0.492993,0.832996,0.883998,0.713056,0.633572,0.388389,0.627358,0.306524,0.7628,0.531175,0.506087,0.903334,0.37745,0.536841
