timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.367413,0.840489,0.479862,0.342998,0.352789,0.451183,0.626014,0.419115,0.813274,0.645998,0.842525,0.363747,0.724701,0.317334,0.707628,0.624059,0.428486,0.773022,0.662486,0.374496,0.771723,0.146374,0.12145,0.159837,0.283026,0.708536,0.180131,0.804085,0.274632,0.290318,0.825087,0.415146,0.130154,0.122253,0.683369,0.449394,0.853887,0.619728,0.448745,0.682018,0.393074,0.400084,0.579781,0.762161,0.64296,0.865449,0.409036,0.338385,0.408022,0.572103
20,0.360011,0.83264,0.475669,0.334422,0.359249,0.454247,0.631618,0.414748,0.811656,0.655034,0.836558,0.372651,0.731858,0.322724,0.69953,0.617191,0.427562,0.765025,0.671579,0.375666,0.770888,0.137779,0.119916,0.168693,0.28865,0.699183,0.168447,0.807149,0.282307,0.290118,0.830612,0.420296,0.122562,0.12054,0.683376,0.456735,0.847449,0.613718,0.442794,0.675503,0.390639,0.41063,0.585252,0.75753,0.634376,0.867491,0.41779,0.339713,0.414508,0.576365
30,0.358154,0.821813,0.476659,0.326293,0.364545,0.454092,0.632142,0.408048,0.804672,0.660991,0.835544,0.380658,0.733227,0.322983,0.698067,0.613452,0.431033,0.757842,0.678057,0.369179,0.763975,0.132605,0.12555,0.175696,0.298642,0.695237,0.16141,0.816967,0.290053,0.290034,0.839919,0.424068,0.11982,0.121266,0.681309,0.460212,0.839936,0.613112,0.434058,0.673308,0.382123,0.414524,0.592232,0.758641,0.627998,0.874121,0.423219,0.346709,0.422455,0.575218
40,0.361942,0.811712,0.476659,0.326293,0.367671,0.448977,0.632142,0.408048,0.795374,0.661548,0.838166,0.383167,0.733227,0.322983,0.698067,0.613452,0.432878,0.750261,0.678235,0.368712,0.755024,0.132911,0.134529,0.176094,0.309661,0.694688,0.161767,0.829218,0.296817,0.293975,0.852536,0.427159,0.11982,0.121266,0.681309,0.460212,0.839936,0.613112,0.425706,0.676156,0.375341,0.41092,0.597207,0.764154,0.620774,0.879744,0.423013,0.355747,0.429694,0.571624
50,0.371214,0.806195,0.476659,0.326293,0.371489,0.442999,0.632142,0.408048,0.787025,0.665071,0.839278,0.383372,0.733676,0.323023,0.698067,0.613452,0.432494,0.748273,0.678235,0.368712,0.746683,0.13048,0.136598,0.175029,0.31754,0.687548,0.163151,0.841627,0.303713,0.297975,0.857218,0.426209,0.115478,0.122387,0.677988,0.462769,0.839936,0.613112,0.421132,0.683702,0.375761,0.409601,0.601754,0.770046,0.613558,0.885495,0.426159,0.363992,0.436619,0.567286
60,0.371857,0.806048,0.476659,0.326293,0.375117,0.441442,0.632142,0.408048,0.786688,0.665422,0.839252,0.383326,0.742963,0.322917,0.695764,0.606716,0.432494,0.748273,0.678235,0.368712,0.741221,0.123395,0.136598,0.175029,0.318924,0.676618,0.165854,0.853764,0.311621,0.298979,0.856423,0.425204,0.107861,0.120523,0.670992,0.465128,0.835077,0.61439,0.421289,0.689507,0.375761,0.409601,0.605702,0.776323,0.605869,0.890625,0.42715,0.36493,0.442646,0.562038
70,0.373392,0.805803,0.476659,0.326293,0.375117,0.441442,0.632142,0.408048,0.783439,0.669437,0.839252,0.383326,0.746252,0.323287,0.692434,0.59611,0.432043,0.746235,0.678235,0.368712,0.736027,0.116059,0.136598,0.175029,0.317252,0.665623,0.165532,0.866,0.319399,0.297297,0.856423,0.425204,0.102329,0.11474,0.664135,0.462506,0.826285,0.614354,0.421289,0.689507,0.375761,0.409601,0.608634,0.78321,0.599706,0.897218,0.42715,0.36493,0.447922,0.556089
80,0.384219,0.806328,0.476659,0.326293,0.375117,0.441442,0.632142,0.408048,0.775095,0.673264,0.839252,0.383326,0.746252,0.323287,0.68948,0.585375,0.432494,0.738356,0.678235,0.368712,0.729516,0.10978,0.140852,0.172191,0.314606,0.654792,0.158399,0.876179,0.326373,0.293486,0.856423,0.425204,0.101317,0.106869,0.661038,0.457954,0.820433,0.607863,0.421289,0.689507,0.375761,0.409601,0.610853,0.790357,0.59915,0.906196,0.42715,0.36493,0.454826,0.551879
90,0.392377,0.813387,0.476659,0.326293,0.375117,0.441442,0.632142,0.408048,0.766218,0.670926,0.842912,0.383953,0.746252,0.323287,0.687356,0.574445,0.437803,0.732524,0.678235,0.368712,0.722453,0.104134,0.149869,0.171273,0.311125,0.6442,0.15004,0.885475,0.33377,0.290443,0.856423,0.425204,0.104269,0.0995973,0.661038,0.457954,0.821386,0.599175,0.421289,0.689507,0.375761,0.409601,0.612377,0.79765,0.595193,0.914196,0.42715,0.36493,0.461092,0.546678
100,0.394333,0.823997,0.476659,0.326293,0.375117,0.441442,0.632142,0.408048,0.760842,0.663486,0.853142,0.380755,0.746252,0.323287,0.684917,0.563765,0.44558,0.730435,0.678235,0.368712,0.716676,0.0975605,0.157843,0.17596,0.3044,0.635608,0.140853,0.893956,0.33964,0.285354,0.856423,0.425204,0.111303,0.0961299,0.661038,0.457954,0.822122,0.598042,0.421289,0.689507,0.375761,0.409601,0.614745,0.804729,0.587195,0.918156,0.42715,0.36493,0.466792,0.540823
110,0.390255,0.834206,0.476659,0.326293,0.375117,0.441442,0.632142,0.408048,0.760293,0.660243,0.858451,0.374321,0.746252,0.323287,0.676859,0.556661,0.453119,0.732748,0.678235,0.368712,0.716072,0.0888874,0.1619,0.184065,0.297431,0.627023,0.130919,0.901546,0.340711,0.277485,0.856423,0.425204,0.118859,0.0982271,0.661038,0.457954,0.824144,0.594552,0.421289,0.689507,0.375761,0.409601,0.615648,0.811955,0.578434,0.916452,0.429686,0.366896,0.472153,0.534683
120,0.38159,0.840633,0.478131,0.317391,0.375117,0.441442,0.632142,0.408048,0.760293,0.660243,0.858451,0.374321,0.746252,0.323287,0.667034,0.551494,0.457509,0.7393,0.678235,0.368712,0.721455,0.0820689,0.161963,0.184537,0.294338,0.616735,0.119268,0.904161,0.339755,0.269529,0.850477,0.421186,0.1231,0.104824,0.661038,0.457954,0.825287,0.585612,0.421289,0.689507,0.375761,0.409601,0.613163,0.819012,0.572313,0.909828,0.434025,0.374616,0.476752,0.527929
130,0.370809,0.840232,0.471987,0.310351,0.375117,0.441442,0.632142,0.408048,0.760293,0.660243,0.858451,0.374321,0.753866,0.324982,0.660848,0.54751,0.457797,0.743652,0.678235,0.368712,0.730028,0.0806586,0.161986,0.184987,0.298672,0.606906,0.109813,0.896883,0.336703,0.262165,0.843168,0.421434,0.121871,0.112569,0.661038,0.457954,0.83059,0.578665,0.421289,0.689507,0.375761,0.409601,0.609964,0.825778,0.56672,0.902447,0.431849,0.383199,0.481748,0.521611
