timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.479908,0.704216,0.843158,0.163181,0.279402,0.767661,0.793,0.63498,0.208992,0.804201,0.392389,0.461441,0.24015,0.237773,0.63612,0.716842,0.168324,0.638317,0.730284,0.704745,0.400237,0.508485,0.190442,0.713815,0.151647,0.414426,0.881355,0.767636,0.773935,0.771603,0.380051,0.680019,0.387763,0.841394,0.847787,0.429804,0.779917,0.685684,0.202946,0.206874,0.557223,0.768699,0.276348,0.850658,0.154019,0.678079,0.643475,0.483257,0.594056,0.543184
20,0.487006,0.698347,0.840372,0.152511,0.269464,0.764347,0.787446,0.626247,0.217125,0.802846,0.390887,0.452238,0.231501,0.240717,0.627709,0.721084,0.158808,0.639056,0.731345,0.697349,0.408206,0.514457,0.188243,0.716735,0.152421,0.424455,0.889925,0.77388,0.782432,0.772525,0.388685,0.685616,0.378056,0.84929,0.841949,0.438773,0.783036,0.67726,0.21016,0.198905,0.560051,0.759366,0.282057,0.843422,0.159125,0.678393,0.651213,0.479676,0.587667,0.539086
30,0.487699,0.697099,0.844164,0.141779,0.268076,0.763292,0.789435,0.616091,0.222442,0.802443,0.390588,0.443039,0.226602,0.245412,0.619237,0.718041,0.149127,0.638909,0.736601,0.692038,0.417359,0.514402,0.191153,0.710442,0.160777,0.430542,0.897215,0.781669,0.7872,0.779618,0.39896,0.686179,0.365481,0.848011,0.842138,0.449963,0.787452,0.674746,0.220584,0.197624,0.569101,0.755894,0.291009,0.841227,0.162198,0.678983,0.658946,0.483266,0.58668,0.53747
40,0.487699,0.697099,0.848175,0.13103,0.268076,0.763292,0.797428,0.610182,0.222442,0.802443,0.397004,0.436452,0.226602,0.245412,0.617301,0.70925,0.140963,0.644105,0.743986,0.690901,0.417359,0.514402,0.192147,0.709535,0.17072,0.434235,0.907822,0.78344,0.784844,0.787833,0.409435,0.684849,0.355732,0.840056,0.844065,0.460934,0.787452,0.674746,0.228359,0.204685,0.577345,0.760992,0.299418,0.845002,0.162198,0.678983,0.661204,0.491504,0.58668,0.53747
50,0.487699,0.697099,0.851803,0.120146,0.268076,0.763292,0.804506,0.60665,0.222442,0.802443,0.4062,0.436524,0.225701,0.24671,0.618225,0.707073,0.137014,0.652939,0.74719,0.691906,0.417359,0.514402,0.192147,0.709535,0.181101,0.436411,0.916364,0.789723,0.783936,0.788786,0.4199,0.684886,0.346317,0.831674,0.847672,0.471542,0.787452,0.674746,0.229207,0.213798,0.578739,0.764263,0.305239,0.85233,0.162198,0.678983,0.660866,0.493723,0.58668,0.53747
60,0.487699,0.697099,0.855045,0.109141,0.268076,0.763292,0.811675,0.599069,0.222442,0.802443,0.407494,0.437155,0.218955,0.25418,0.618225,0.707073,0.136795,0.662744,0.74719,0.691906,0.417359,0.514402,0.192147,0.709535,0.19169,0.437023,0.919032,0.799986,0.783936,0.788786,0.430156,0.684589,0.333779,0.832046,0.851434,0.482114,0.787452,0.674746,0.222068,0.220484,0.578739,0.764263,0.30579,0.861531,0.163676,0.678788,0.660866,0.493723,0.58668,0.53747
70,0.490761,0.691837,0.857114,0.0978799,0.268076,0.763292,0.811402,0.588758,0.222879,0.80253,0.407494,0.437155,0.207403,0.26076,0.618225,0.707073,0.134581,0.669432,0.74719,0.691906,0.417359,0.514402,0.192147,0.709535,0.201896,0.434651,0.914633,0.809634,0.783936,0.788786,0.437218,0.692126,0.325014,0.841017,0.856622,0.492031,0.787452,0.674746,0.212482,0.220374,0.578739,0.764263,0.300567,0.869125,0.165349,0.67837,0.660866,0.493723,0.58668,0.53747
80,0.498839,0.686952,0.862175,0.0880726,0.268076,0.763292,0.80374,0.581853,0.231083,0.802376,0.407494,0.437155,0.198922,0.267381,0.618225,0.707073,0.132996,0.67806,0.74719,0.691906,0.423021,0.511326,0.192147,0.709535,0.211776,0.431221,0.905136,0.81458,0.782906,0.78966,0.439511,0.70208,0.323712,0.846883,0.862748,0.501433,0.787452,0.674746,0.205214,0.218821,0.578739,0.764263,0.300182,0.869426,0.165997,0.678119,0.660866,0.493723,0.58668,0.53747
90,0.507685,0.683531,0.87255,0.0843336,0.268076,0.763292,0.803163,0.581635,0.236789,0.796618,0.407494,0.437155,0.190398,0.270332,0.618225,0.707073,0.13368,0.678588,0.751006,0.693822,0.43279,0.510515,0.192147,0.709535,0.220381,0.425019,0.89482,0.818369,0.775761,0.795137,0.432752,0.709361,0.323574,0.851164,0.869594,0.510324,0.787452,0.674746,0.205554,0.221907,0.578739,0.764263,0.300182,0.869426,0.166708,0.67842,0.660866,0.493723,0.58668,0.53747
100,0.513976,0.676804,0.88269,0.0886698,0.268076,0.763292,0.803163,0.581635,0.236838,0.788917,0.407494,0.437155,0.187299,0.267548,0.618225,0.707073,0.138599,0.680845,0.755725,0.699616,0.441112,0.514836,0.192147,0.709535,0.227969,0.417608,0.884948,0.8232,0.768453,0.800251,0.422638,0.707744,0.328133,0.86285,0.877117,0.518652,0.787452,0.674746,0.199316,0.225896,0.578739,0.764263,0.300182,0.869426,0.166847,0.678487,0.660866,0.493723,0.58668,0.53747
