timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.388892,0.297327,0.806091,0.529505,0.276144,0.471977,0.309334,0.169778,0.451261,0.619402,0.559815,0.572599,0.330642,0.269432,0.292621,0.501019,0.521855,0.216463,0.444365,0.748471,0.411591,0.868746,0.812251,0.311749,0.868431,0.759484,0.781258,0.161484,0.234214,0.356404,0.691296,0.753554,0.833086,0.273864,0.707844,0.825718,0.257126,0.318103,0.569919,0.367064,0.196596,0.774545,0.402775,0.705153,0.163836,0.644586,0.203843,0.603713,0.457414,0.304065
20,0.397396,0.294359,0.812869,0.536118,0.270893,0.478581,0.31953,0.170004,0.444385,0.624437,0.568266,0.566469,0.326265,0.264846,0.301035,0.507161,0.532118,0.218758,0.451625,0.749908,0.408171,0.856885,0.804548,0.30776,0.876853,0.754963,0.786425,0.153788,0.238988,0.367364,0.698309,0.745411,0.829432,0.281958,0.715753,0.820115,0.253049,0.326517,0.55889,0.364093,0.187672,0.776455,0.403259,0.695398,0.160492,0.635536,0.205476,0.594737,0.448415,0.299393
30,0.397466,0.293584,0.813618,0.545558,0.272992,0.486754,0.327165,0.163241,0.436196,0.622752,0.579044,0.565113,0.322925,0.264003,0.307855,0.506956,0.538202,0.227061,0.456248,0.75269,0.414285,0.846162,0.796511,0.310225,0.886758,0.7556,0.795338,0.151238,0.250513,0.374086,0.69945,0.740524,0.820057,0.283358,0.719446,0.811342,0.255153,0.333896,0.552351,0.354873,0.182557,0.784471,0.411255,0.689789,0.158042,0.632944,0.21295,0.589506,0.44585,0.302868
40,0.397975,0.299611,0.807968,0.553158,0.276081,0.489137,0.32817,0.153092,0.428554,0.618916,0.589849,0.564469,0.322925,0.264003,0.307855,0.506956,0.535585,0.237017,0.456248,0.75269,0.425988,0.841095,0.792966,0.317848,0.896517,0.754353,0.803806,0.155048,0.26364,0.375318,0.69945,0.740524,0.814342,0.27746,0.71638,0.802331,0.26006,0.335703,0.55485,0.343558,0.17626,0.791516,0.411806,0.689681,0.158042,0.632944,0.214349,0.589253,0.439935,0.304692
50,0.394399,0.30452,0.799212,0.557594,0.278128,0.490727,0.322997,0.144026,0.420249,0.62052,0.600734,0.564654,0.322925,0.264003,0.309484,0.506892,0.526205,0.241255,0.456248,0.75269,0.438103,0.836778,0.794732,0.326338,0.906044,0.751848,0.811915,0.159905,0.27544,0.375541,0.69945,0.740524,0.813413,0.274127,0.708103,0.797631,0.26006,0.335703,0.560159,0.332947,0.168708,0.797464,0.411806,0.689681,0.158042,0.632944,0.214349,0.589253,0.434898,0.301496
60,0.390403,0.306019,0.790381,0.561974,0.282321,0.490684,0.322863,0.133879,0.414816,0.627023,0.611621,0.564698,0.317992,0.263413,0.313113,0.507453,0.515472,0.240292,0.456248,0.75269,0.443808,0.834807,0.792238,0.334428,0.914802,0.755676,0.821087,0.162825,0.285436,0.382018,0.69945,0.740524,0.816287,0.265094,0.698413,0.798107,0.26006,0.335703,0.566707,0.323053,0.160289,0.801902,0.411806,0.689681,0.158042,0.632944,0.214349,0.589253,0.430043,0.299977
70,0.388069,0.308865,0.781863,0.566935,0.288218,0.48754,0.330216,0.126886,0.409787,0.633822,0.622473,0.565182,0.311655,0.263208,0.315212,0.508759,0.511641,0.240252,0.456248,0.75269,0.443808,0.834807,0.789398,0.337052,0.918198,0.764611,0.830623,0.164234,0.288444,0.393414,0.69945,0.740524,0.81922,0.263185,0.693802,0.800834,0.26006,0.335703,0.5744,0.31402,0.151922,0.806707,0.411806,0.689681,0.153294,0.628631,0.214349,0.589253,0.425309,0.298603
80,0.385217,0.309801,0.773696,0.572454,0.293517,0.482922,0.340358,0.127535,0.401464,0.634433,0.633342,0.5658,0.306857,0.267292,0.317019,0.511768,0.511641,0.240252,0.456248,0.75269,0.45534,0.832982,0.789398,0.337052,0.914192,0.773289,0.839698,0.166933,0.28837,0.394201,0.69945,0.740524,0.81922,0.263185,0.693802,0.800834,0.263171,0.336973,0.583125,0.305979,0.145671,0.813625,0.419291,0.690035,0.143914,0.626369,0.214349,0.589253,0.424448,0.303308
90,0.382398,0.310188,0.765915,0.578506,0.298934,0.479567,0.349825,0.132351,0.3962,0.629591,0.644202,0.566275,0.306114,0.273548,0.317873,0.514632,0.511641,0.240252,0.456248,0.75269,0.465683,0.83972,0.786107,0.339233,0.90515,0.776709,0.846446,0.169625,0.28837,0.394201,0.69945,0.740524,0.81922,0.263185,0.690679,0.805092,0.268234,0.340709,0.592755,0.299048,0.147126,0.822635,0.426167,0.696972,0.135397,0.630903,0.214349,0.589253,0.42341,0.307934
100,0.380336,0.309756,0.758557,0.585065,0.300399,0.482286,0.359441,0.136692,0.3962,0.629591,0.654895,0.568189,0.308484,0.277605,0.318819,0.515092,0.511641,0.240252,0.456248,0.75269,0.468067,0.851847,0.779048,0.344172,0.895225,0.777911,0.846446,0.169625,0.28837,0.394201,0.699756,0.736777,0.81922,0.263185,0.687804,0.814491,0.268234,0.340709,0.595432,0.297408,0.155287,0.82672,0.429772,0.706386,0.133906,0.632918,0.214797,0.589213,0.421999,0.311595
