timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
3030,0.342088,0.626499,0.320623,0.679776,0.426825,0.696974,0.665542,0.898671,0.742222,0.34614,0.776507,0.32732,0.723746,0.537037,0.29289,0.791029,0.267492,0.840243,0.76703,0.524921,0.731519,0.39374,0.762467,0.281784,0.799121,0.508938,0.445002,0.347204,0.269063,0.74036,0.506373,0.419756,0.407867,0.310431,0.312975,0.72999,0.827263,0.193003,0.44444,0.286466,0.745499,0.252634,0.359025,0.799765,0.408202,0.356643,0.547438,0.594686,0.823612,0.369309
3040,0.342088,0.626499,0.320623,0.679776,0.425078,0.705448,0.664491,0.908785,0.742222,0.34614,0.776507,0.327321,0.721274,0.534374,0.29289,0.791029,0.267492,0.840243,0.769348,0.528874,0.731519,0.39374,0.762467,0.281784,0.799121,0.508938,0.445002,0.347204,0.269063,0.74036,0.511334,0.411757,0.407867,0.310431,0.312975,0.72999,0.827263,0.193003,0.44444,0.286466,0.745525,0.252975,0.359025,0.799765,0.408202,0.356643,0.540509,0.593101,0.823612,0.369309
3050,0.342088,0.626499,0.318225,0.681126,0.425078,0.705448,0.65746,0.915849,0.742222,0.34614,0.776507,0.327321,0.718365,0.525033,0.29289,0.791029,0.267492,0.840243,0.777632,0.534517,0.731519,0.39374,0.762467,0.281784,0.799121,0.508938,0.445002,0.347204,0.269063,0.74036,0.510519,0.403852,0.407867,0.310431,0.312975,0.72999,0.827263,0.193003,0.44444,0.286466,0.745525,0.252975,0.359025,0.799765,0.408202,0.356643,0.533419,0.592594,0.823612,0.369309
3060,0.342088,0.626499,0.313402,0.684632,0.419222,0.71343,0.647498,0.916168,0.742222,0.34614,0.776507,0.327321,0.718365,0.525028,0.29289,0.791029,0.267492,0.840243,0.783966,0.536496,0.731519,0.39374,0.762467,0.281784,0.798778,0.507804,0.445002,0.347204,0.269059,0.740365,0.510519,0.403852,0.407867,0.310431,0.313567,0.731377,0.832876,0.191372,0.44444,0.286466,0.745525,0.252975,0.35096,0.804107,0.408202,0.356643,0.526381,0.593331,0.823612,0.369309
3070,0.342088,0.626499,0.313371,0.686714,0.412308,0.721338,0.640029,0.909569,0.742222,0.34614,0.776507,0.327321,0.718561,0.523529,0.29289,0.791029,0.267492,0.840243,0.787469,0.535865,0.731519,0.39374,0.762467,0.281784,0.798778,0.507804,0.445002,0.347204,0.269058,0.740366,0.509339,0.401828,0.407867,0.310431,0.313567,0.731378,0.843026,0.18782,0.44444,0.286466,0.745525,0.252975,0.344986,0.813226,0.408202,0.356643,0.519813,0.595984,0.823612,0.369309
3080,0.350052,0.629053,0.318359,0.692565,0.404726,0.728609,0.638918,0.899556,0.742222,0.34614,0.776507,0.327321,0.717572,0.51324,0.29289,0.791029,0.267492,0.840243,0.797565,0.537252,0.731519,0.39374,0.762467,0.281784,0.798778,0.507804,0.445002,0.347204,0.269058,0.740366,0.502442,0.395424,0.403015,0.308056,0.313567,0.731378,0.852618,0.182924,0.44444,0.286466,0.745525,0.252975,0.345904,0.823471,0.408202,0.356643,0.513741,0.599679,0.823612,0.369309
3090,0.359359,0.631937,0.325652,0.694566,0.396321,0.734851,0.63986,0.889209,0.742222,0.34614,0.776507,0.327321,0.710239,0.506027,0.29289,0.791029,0.267492,0.840243,0.803939,0.544897,0.731519,0.39374,0.762467,0.281784,0.798778,0.507804,0.445002,0.347204,0.269058,0.740366,0.493196,0.39514,0.39695,0.308004,0.313567,0.731378,0.86289,0.179714,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.408202,0.356643,0.508305,0.60426,0.823612,0.369309
3100,0.363657,0.64055,0.331474,0.691828,0.395807,0.735172,0.640495,0.878838,0.742222,0.34614,0.776507,0.327321,0.709694,0.505763,0.29289,0.791029,0.267492,0.840243,0.804214,0.550548,0.731519,0.39374,0.762467,0.281784,0.798778,0.507804,0.445002,0.347204,0.269258,0.740846,0.491861,0.395696,0.39695,0.308004,0.313568,0.731377,0.873196,0.177296,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.408202,0.356643,0.503635,0.609618,0.823612,0.369309
3110,0.360162,0.649519,0.331474,0.691828,0.395807,0.735172,0.640821,0.868452,0.742222,0.34614,0.776507,0.327321,0.709694,0.505763,0.29289,0.791029,0.267492,0.840243,0.804214,0.550548,0.731519,0.39374,0.763031,0.281712,0.798778,0.507804,0.445002,0.347204,0.27282,0.748702,0.491861,0.395696,0.39695,0.308004,0.314571,0.729553,0.883653,0.179541,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.408202,0.356643,0.499224,0.615111,0.823612,0.369309
3120,0.356421,0.651794,0.330818,0.692384,0.395807,0.735172,0.640838,0.858062,0.742222,0.34614,0.775687,0.329596,0.709694,0.505763,0.29289,0.791029,0.267492,0.840243,0.805481,0.559944,0.731519,0.39374,0.773162,0.279169,0.798778,0.507804,0.443994,0.355343,0.273981,0.750422,0.491861,0.395696,0.39695,0.308004,0.314589,0.729516,0.8941,0.182296,0.44444,0.286466,0.745525,0.252975,0.345908,0.823479,0.408202,0.356643,0.494958,0.620776,0.823612,0.369309
