timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.182459,0.236749,0.413275,0.470229,0.87107,0.135665,0.638585,0.708409,0.375315,0.428304,0.330219,0.126983,0.675156,0.840828,0.175002,0.524155,0.772009,0.378062,0.72495,0.636991,0.157561,0.385545,0.369463,0.647569,0.456679,0.652432,0.332643,0.470713,0.815532,0.646156,0.424826,0.233459,0.538086,0.605129,0.637432,0.302672,0.682809,0.640639,0.575,0.180971,0.38127,0.558101,0.47609,0.51596,0.598674,0.315872,0.817403,0.296948,0.813444,0.374683
20,0.17385,0.232757,0.407682,0.480587,0.881019,0.132451,0.636643,0.717179,0.372003,0.419543,0.333464,0.12014,0.681276,0.832705,0.18555,0.525823,0.767355,0.385766,0.719635,0.642353,0.149582,0.377614,0.372268,0.639243,0.450182,0.660264,0.336037,0.478603,0.823983,0.639935,0.414055,0.237398,0.54632,0.612955,0.644987,0.299092,0.674036,0.641951,0.564779,0.17904,0.390488,0.558958,0.483191,0.512695,0.60372,0.307932,0.81038,0.291301,0.822937,0.376229
30,0.169977,0.224338,0.406336,0.482079,0.890657,0.136483,0.635958,0.726152,0.363266,0.41617,0.339287,0.114788,0.68985,0.826826,0.194463,0.520285,0.770809,0.394078,0.718739,0.64971,0.138614,0.376849,0.36846,0.631779,0.440178,0.662393,0.334595,0.484942,0.829711,0.638794,0.404461,0.230867,0.55147,0.614381,0.647785,0.294369,0.66943,0.646865,0.557514,0.171606,0.394577,0.558195,0.486299,0.505524,0.6126,0.304843,0.805228,0.283698,0.82911,0.383604
40,0.173334,0.215701,0.406336,0.482079,0.895338,0.145824,0.62875,0.731209,0.354376,0.419759,0.344876,0.109113,0.697217,0.819551,0.195589,0.509852,0.771165,0.394406,0.723699,0.655215,0.130875,0.384659,0.36846,0.631779,0.430524,0.665317,0.334595,0.484942,0.829711,0.638794,0.398033,0.220622,0.55147,0.614381,0.647785,0.294369,0.66943,0.646865,0.555835,0.161348,0.394577,0.558195,0.483825,0.498111,0.620342,0.307108,0.796489,0.281466,0.829436,0.391868
50,0.181876,0.212107,0.406336,0.482079,0.892797,0.155958,0.620708,0.728738,0.349944,0.428011,0.350589,0.103562,0.704804,0.8124,0.188061,0.502541,0.772294,0.395237,0.731108,0.655088,0.131739,0.39562,0.36846,0.631779,0.427316,0.670058,0.334595,0.484942,0.836565,0.638439,0.396273,0.208872,0.55147,0.614381,0.647785,0.294369,0.66943,0.646865,0.560018,0.151671,0.394577,0.558195,0.483605,0.497827,0.620342,0.307108,0.787728,0.284483,0.829436,0.391868
60,0.19102,0.214885,0.406336,0.482079,0.886525,0.16481,0.620708,0.728738,0.353139,0.436815,0.356423,0.0981401,0.712228,0.805082,0.177123,0.501757,0.778612,0.401964,0.735766,0.649835,0.138011,0.40526,0.36846,0.631779,0.427316,0.670058,0.334595,0.484942,0.847099,0.636601,0.397674,0.196858,0.561237,0.615012,0.647785,0.294369,0.66943,0.646865,0.564287,0.141829,0.394577,0.558195,0.483605,0.497827,0.621536,0.307888,0.778956,0.282417,0.829436,0.391868
70,0.200188,0.217998,0.406336,0.482079,0.88092,0.174101,0.620708,0.728738,0.361831,0.440304,0.36344,0.0952765,0.719678,0.797846,0.166127,0.502045,0.781626,0.410813,0.735766,0.649835,0.14348,0.415343,0.36846,0.631779,0.424966,0.676323,0.334595,0.484942,0.85725,0.633236,0.400605,0.185151,0.57295,0.616027,0.648849,0.289265,0.66943,0.646865,0.566792,0.131398,0.394577,0.558195,0.481395,0.494027,0.630374,0.313437,0.774197,0.274704,0.829436,0.391868
80,0.209353,0.221185,0.406336,0.482079,0.875704,0.183565,0.620708,0.728738,0.364251,0.439979,0.370359,0.0983547,0.72601,0.789683,0.155203,0.501659,0.788865,0.416565,0.735766,0.649835,0.149606,0.425007,0.366687,0.630324,0.417298,0.683012,0.334595,0.484942,0.866797,0.628417,0.404426,0.173675,0.584489,0.618284,0.64809,0.280655,0.66943,0.646865,0.567456,0.120691,0.394577,0.558195,0.482373,0.486329,0.639505,0.313622,0.771855,0.265565,0.829436,0.391868
90,0.218487,0.22432,0.406336,0.482079,0.870038,0.192819,0.61843,0.72645,0.364251,0.439979,0.372918,0.105482,0.729182,0.779845,0.144233,0.501452,0.794409,0.421022,0.735766,0.649835,0.157412,0.433481,0.361949,0.62287,0.407131,0.683451,0.334595,0.484942,0.875063,0.621675,0.406336,0.162076,0.595722,0.621756,0.643868,0.273133,0.66943,0.646865,0.56626,0.11003,0.394577,0.558195,0.488488,0.481247,0.639776,0.313346,0.76957,0.256412,0.831765,0.388774
100,0.227976,0.226348,0.406336,0.482079,0.865085,0.202473,0.616121,0.717952,0.364251,0.439979,0.369536,0.112258,0.733116,0.770193,0.133275,0.501556,0.796474,0.420122,0.735766,0.649835,0.164632,0.440313,0.363557,0.614192,0.3979,0.67876,0.332726,0.488475,0.882195,0.613707,0.401338,0.151443,0.606522,0.626405,0.636563,0.268873,0.66943,0.646865,0.560315,0.101781,0.394577,0.558195,0.496341,0.479672,0.644298,0.305533,0.767344,0.247245,0.835188,0.389447
110,0.23743,0.228532,0.406336,0.482079,0.862047,0.212661,0.619637,0.712218,0.364251,0.439979,0.362626,0.116112,0.736849,0.760459,0.123805,0.49665,0.795606,0.412429,0.735766,0.649835,0.164632,0.440313,0.370653,0.608944,0.393666,0.673354,0.333058,0.496989,0.88808,0.604779,0.394982,0.146783,0.607197,0.626736,0.628198,0.268714,0.66943,0.646865,0.549976,0.0990472,0.394577,0.558195,0.503899,0.477159,0.652832,0.301587,0.765176,0.238063,0.830951,0.391098
120,0.246796,0.230921,0.406336,0.482079,0.864745,0.222894,0.619637,0.712218,0.364251,0.439979,0.355485,0.11964,0.740362,0.750644,0.122023,0.494471,0.791068,0.411328,0.735766,0.649835,0.164969,0.440611,0.371977,0.608646,0.393666,0.673354,0.337593,0.501607,0.891431,0.594747,0.394982,0.146783,0.607197,0.626736,0.620812,0.272931,0.66943,0.646865,0.540451,0.0948689,0.394577,0.558195,0.510976,0.480341,0.661968,0.303808,0.763066,0.228869,0.822222,0.390154
130,0.255875,0.234118,0.406336,0.482079,0.868558,0.228917,0.619637,0.712218,0.364251,0.439979,0.348268,0.123009,0.743653,0.740752,0.120538,0.492279,0.791068,0.411328,0.735766,0.649835,0.174833,0.445715,0.371977,0.608646,0.391701,0.670325,0.337593,0.501607,0.891169,0.58406,0.39349,0.146169,0.607197,0.626736,0.617686,0.278539,0.66943,0.646865,0.535042,0.0859922,0.394577,0.558195,0.513331,0.487734,0.667149,0.308034,0.762742,0.219528,0.816005,0.38452
