cluster_number,cluster_metric
10,0.32
12,0.32
11,0.32
11,0.34
11,0.34
12,0.24
12,0.24
12,0.24
11,0.24
11,0.24
11,0.24
11,0.24
12,0.24
12,0.24
12,0.24
11,0.24
11,0.24
12,0.24
12,0.26
12,0.26
10,0.28
11,0.28
11,0.28
11,0.28
10,0.28
10,0.28
10,0.28
10,0.28
10,0.26
10,0.26
10,0.26
10,0.26
9,0.26
9,0.26
8,0.26
8,0.26
9,0.26
9,0.26
9,0.26
9,0.26
11,0.2
11,0.2
11,0.2
11,0.2
10,0.26
9,0.26
9,0.26
9,0.26
10,0.26
11,0.22
11,0.22
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
11,0.2
10,0.2
10,0.2
9,0.28
9,0.28
9,0.28
9,0.28
9,0.28
10,0.2
9,0.2
9,0.2
9,0.2
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.14
9,0.2
9,0.18
10,0.18
11,0.14
11,0.14
9,0.3
9,0.3
9,0.3
9,0.3
9,0.3
8,0.32
9,0.14
10,0.14
10,0.14
9,0.14
9,0.14
9,0.14
10,0.14
10,0.14
10,0.14
10,0.14
9,0.14
10,0.14
9,0.14
9,0.14
10,0.14
10,0.14
9,0.14
9,0.14
10,0.14
10,0.14
9,0.14
9,0.14
9,0.14
9,0.14
9,0.14
10,0.14
9,0.14
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
11,0.18
10,0.18
9,0.18
9,0.18
10,0.18
10,0.18
11,0.18
10,0.24
11,0.24
11,0.24
11,0.24
11,0.24
11,0.24
12,0.24
13,0.24
13,0.24
13,0.2
13,0.2
14,0.2
14,0.2
14,0.2
14,0.2
14,0.2
14,0.18
14,0.18
14,0.18
14,0.18
14,0.18
13,0.18
13,0.18
14,0.14
14,0.14
14,0.14
14,0.14
14,0.14
14,0.14
14,0.14
12,0.14
11,0.14
11,0.16
10,0.16
10,0.18
11,0.18
11,0.18
11,0.18
10,0.18
10,0.2
10,0.2
10,0.2
10,0.2
10,0.2
10,0.2
10,0.2
8,0.18
8,0.18
8,0.18
8,0.18
9,0.18
9,0.18
9,0.18
9,0.18
9,0.18
9,0.18
9,0.18
9,0.18
9,0.18
10,0.18
10,0.18
10,0.18
10,0.18
10,0.18
10,0.18
11,0.18
11,0.18
11,0.18
11,0.16
11,0.16
11,0.16
11,0.16
11,0.16
11,0.16
11,0.16
11,0.16
11,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
10,0.16
11,0.16
11,0.16
11,0.16
10,0.16
10,0.16
10,0.16
10,0.16
9,0.16
9,0.16
9,0.16
9,0.16
9,0.18
9,0.18
9,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
9,0.16
9,0.16
8,0.3
8,0.3
9,0.3
9,0.3
9,0.3
9,0.3
10,0.3
10,0.3
9,0.3
10,0.22
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
8,0.26
8,0.26
8,0.26
8,0.26
7,0.46
8,0.44
8,0.44
8,0.44
8,0.44
8,0.44
9,0.24
9,0.24
9,0.24
9,0.24
9,0.24
8,0.32
8,0.32
8,0.32
9,0.24
9,0.24
9,0.24
9,0.24
9,0.24
9,0.22
8,0.22
8,0.22
8,0.22
8,0.22
7,0.32
7,0.32
7,0.32
7,0.32
7,0.32
8,0.22
8,0.22
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
6,0.38
6,0.38
6,0.38
6,0.38
6,0.38
5,0.4
5,0.32
5,0.32
5,0.32
5,0.32
6,0.3
5,0.32
5,0.32
5,0.32
5,0.36
5,0.36
5,0.36
6,0.36
7,0.3
8,0.26
7,0.3
7,0.3
7,0.3
7,0.3
8,0.3
8,0.3
8,0.3
8,0.3
8,0.3
6,0.34
7,0.3
7,0.3
7,0.3
7,0.3
7,0.3
8,0.3
8,0.3
8,0.3
8,0.3
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
7,0.5
7,0.5
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
8,0.36
7,0.4
7,0.4
7,0.4
7,0.4
6,0.4
6,0.4
6,0.4
6,0.4
6,0.4
6,0.4
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
7,0.38
6,0.38
6,0.38
7,0.36
7,0.36
7,0.36
7,0.38
7,0.38
6,0.38
6,0.36
7,0.36
7,0.36
6,0.36
7,0.36
8,0.36
8,0.36
8,0.36
8,0.36
8,0.36
6,0.4
6,0.4
6,0.4
7,0.4
7,0.4
7,0.4
7,0.4
7,0.4
7,0.4
7,0.4
8,0.4
8,0.4
8,0.4
8,0.4
8,0.4
8,0.4
7,0.44
7,0.44
7,0.44
7,0.44
7,0.44
7,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
7,0.44
7,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
6,0.44
4,0.44
4,0.44
4,0.44
4,0.44
4,0.44
5,0.36
5,0.36
